# Curated raw_category -> OSM spec_id mappings for Overture / FSQ records.
# Edit this file, rebuild (cache hits → fast), and external POIs get re-attributed.
#
# Columns: raw_category <TAB> spec_id
#   - raw_category: matched case-insensitively against the FULL category
#                   string and each `>`-separated segment (last-first).
#                   Whitespace is significant within the value.
#   - spec_id: must match a key=value (or key=value|filter_key=filter_value)
#              that exists in tags_config.py. Use external=other to leave
#              records under the "External (uncategorized)" checkbox.
#
# Lines starting with `#` and blank lines are ignored.
# Rules in this file beat the regex fallbacks in category_map.py.

# ---- Foursquare (leaf labels) ----
restaurant	amenity=restaurant
cafe	amenity=cafe
bar	amenity=bar
pub	amenity=pub
fast_food	amenity=fast_food
bakery	shop=bakery
supermarket	shop=supermarket
convenience_store	shop=convenience
butcher	shop=butcher
greengrocer	shop=greengrocer
bookstore	shop=books
florist	shop=florist
optician	shop=optician
mobile_phone_store	shop=mobile_phone
hair_salon	shop=hairdresser
barbershop	shop=hairdresser
post_office	amenity=post_office
police_station	amenity=police
fire_station	amenity=fire_station
townhall	amenity=townhall
courthouse	amenity=courthouse
school	amenity=school
university	amenity=university
college	amenity=college
kindergarten	amenity=kindergarten
playground	leisure=playground
sports_center	leisure=sports_centre
fitness_center	leisure=fitness_centre
gym	leisure=fitness_centre
bus_station	amenity=bus_station
railway_station	railway=station
parking	amenity=parking
ferry_terminal	amenity=ferry_terminal
accommodation	tourism=hotel

# ---- Mappings the user explicitly requested in review of the unmapped TSV ----
information_technology_company	office=it
health_and_medical	amenity=clinic
commercial_industrial	external=other
business	office=company
non_governmental_association	office=ngo
plastic_surgeon	amenity=clinic
plastic surgeon	amenity=clinic
carpet_cleaning	office=company
auto_company	shop=car
Art Studio	office=company
interior_design	office=company
Palace	historic=castle
hair_replacement	shop=beauty
Recording Studio	office=company
Jazz and Blues Venue	amenity=arts_centre
eat_and_drink	amenity=restaurant
accountant	office=accountant
Prison	amenity=prison
Nature Preserve	leisure=nature_reserve
Manti Place	amenity=restaurant
superstore	shop=mall
motorcycle_repair	shop=motorcycle_repair
pharmaceutical_companies	office=company
optometrist	shop=optician
Optometrist	shop=optician
obstetrician_and_gynecologist	amenity=clinic
Gozleme Place	amenity=restaurant
Tunnel	external=other
fruits_and_vegetables	shop=greengrocer
dermatologist	amenity=clinic
nutritionist	amenity=clinic
Speakeasy	amenity=bar
Forest	external=other
Bridge	external=other
Bus Stop	external=other
industrial_company	external=other
tea_room	amenity=cafe
Pilavcı	amenity=restaurant
Lighthouse	historic=lighthouse
Shrine	amenity=place_of_worship
Buddhist Temple	amenity=place_of_worship|religion=buddhist
buddhist_temple	amenity=place_of_worship|religion=buddhist
Hindu Temple	amenity=place_of_worship|religion=hindu
hindu_temple	amenity=place_of_worship|religion=hindu
Sikh Temple	amenity=place_of_worship
Temple	amenity=place_of_worship
Mission	amenity=place_of_worship
Topic Concert Venue	amenity=arts_centre
topic_concert_venue	amenity=arts_centre
Embassy or Consulate	office=government
Conference	amenity=events_venue
Recording Studio	office=company
Jazz and Blues Venue	amenity=arts_centre
Film Studio	office=company
Tanning Salon	shop=beauty
Bath House	leisure=sauna
sauna	leisure=sauna
Surf Spot	leisure=sports_centre
Newsstand	shop=kiosk
Food Stand	amenity=fast_food
Salsa Club	amenity=nightclub
music_production	office=company
Polling Place	external=other
sewing_and_alterations	craft=tailor
Boarding House	tourism=guest_house
Gun Range	leisure=sports_centre
sports_wear	shop=sports
condominium	external=other
broadcasting_media_production	office=company
event_photography	shop=photo
Festival	amenity=events_venue
Wedding Hall	amenity=events_venue
wedding_planning	office=company
metal_fabricator	craft=*
Stable	leisure=horse_riding
Big Box Store	shop=department_store
Boat or Ferry	external=other
Bus Line	external=other
Plane	external=other
Cruise	external=other
Airport Gate	external=other
Airport Terminal	external=other
Airport	aeroway=aerodrome
Heliport	aeroway=heliport
heliports	aeroway=heliport
Photo Lab	shop=photo
Photography Lab	shop=photo
Wedding Planning	office=company
Country Club	leisure=sports_centre
Adult Education	amenity=college
Community and Government	amenity=community_centre
Cultural Center	amenity=community_centre
Comedy Club	amenity=theatre
key_and_locksmith	shop=locksmith
Recycling Facility	amenity=recycling
ophthalmologist	amenity=clinic
Ophthalmologist	amenity=clinic
cardiologist	amenity=clinic
Cardiologist	amenity=clinic
urologist	amenity=clinic
Urologist	amenity=clinic
neurologist	amenity=clinic
Neurologist	amenity=clinic
radiologist	amenity=clinic
Radiologist	amenity=clinic
podiatrist	amenity=clinic
Podiatrist	amenity=clinic
chiropractor	amenity=clinic
psychologist	amenity=clinic
Marijuana Dispensary	shop=cannabis
Brewery	craft=brewery
brewery	craft=brewery
Distillery	craft=distillery
distillery	craft=distillery
Winery	craft=winery
winery	craft=winery
